ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS
1035916230,TOYOTA YARIS 1.5 16V XS CONNECT MULTIDRIVE,9.500 km  |  Câmbio: Automático  |  Flex  |  ,R$ 104.890,Florianópolis -  SC,"Hoje, 23:22",https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toyota-yaris-1-5-16v-xs-connect-multidrive-1035916230,2022-06-22
1028100649,NISSAN Kicks 1.6 16V 4P FLEX ADVANCE XTRONIC AUTOMÁTICO CVT,19.800 km  |  Câmbio: Automático  |  Flex  |  ,R$ 119.000,Limeira -  SP,"Hoje, 23:22",https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/nissan-kicks-1-6-16v-4p-flex-advance-xtronic-automatico-cvt-1028100649,2022-06-22
833202951,J6 12 - Completa - Mecanica - 5 Lugares - Bancos em Couro - Novissima,90.000 km  |  Câmbio: Manual  |  Gasolina  |  ,R$ 25.900,São Bernardo do Campo -  SP,"Hoje, 23:22",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/j6-12-completa-mecanica-5-lugares-bancos-em-couro-novissima-833202951,2022-06-22
1020005724,OUTLANDER 2014/2015 2.0 16V GASOLINA 4P AUTOMÁTICO,120.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 76.990,Campinas -  SP,"Hoje, 23:22",https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/outlander-2014-2015-2-0-16v-gasolina-4p-automatico-1020005724,2022-06-22
935850283,Mercedes C180 Kopressor 2006,150.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 45.000,Santa Maria -  RS,"Hoje, 23:22",https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/mercedes-c180-kopressor-2006-935850283,2022-06-22
1048514199,Amarok V6 TDI Highline,122.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 195.000,Macaíba -  RN,"Hoje, 23:22",https://rn.olx.com.br/rio-grande-do-norte/autos-e-pecas/carros-vans-e-utilitarios/amarok-v6-tdi-highline-1048514199,2022-06-22
1048514939,Uno way 4 portas,77.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 34.000,Duque de Caxias -  RJ,"Hoje, 23:22",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/uno-way-4-portas-1048514939,2022-06-22
1044509694,Toyota Etios Ready 1.5 Flex Aut *27.000 Km*,27.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 64.900,Serra -  ES,"Hoje, 23:21",https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/toyota-etios-ready-1-5-flex-aut-27-000-km-1044509694,2022-06-22
949262792,Prisma LT 1.4,62.390 km  |  Câmbio: Manual  |  Flex  |  ,R$ 67.900,Fortaleza -  CE,"Hoje, 23:21",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/prisma-lt-1-4-949262792,2022-06-22
1041909215,FIT DX 1.5,70.296 km  |  Câmbio: Manual  |  Flex  |  ,R$ 59.990,Ribeirão Preto -  SP,"Hoje, 23:21",https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/fit-dx-1-5-1041909215,2022-06-22
1027531766,NISSAN KICKS 1.6 16V FLEXSTART SL 4P XTRONIC,53.015 km  |  Câmbio: Automático  |  Flex  |  ,R$ 99.900,Cotia -  SP,"Hoje, 23:21",https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/nissan-kicks-1-6-16v-flexstart-sl-4p-xtronic-1027531766,2022-06-22
1025878266,Uno Way 1.0 Flex - Mega Oportunidade!!,1 km  |  Câmbio: Manual  |  Flex  |  ,R$ 40.000,Feira de Santana -  BA,"Hoje, 23:21",https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/autos-e-pecas/carros-vans-e-utilitarios/uno-way-1-0-flex-mega-oportunidade-1025878266,2022-06-22
995361251,Corolla xei 2.0   2022  completo   Km 3.000,3.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 157.000,Uberlândia -  MG,"Hoje, 23:21",https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-2-0-2022-completo-km-3-000-995361251,2022-06-22
1035475884,MONTANA APENAS DIREÇÃO HIDRÁULICA ABAIXO DA FIPE ,111.111 km  |  Câmbio: Manual  |  Flex  |  ,R$ 37.990,Joinville -  SC,"Hoje, 23:21",https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/montana-apenas-direcao-hidraulica-abaixo-da-fipe-1035475884,2022-06-22
1006620181,Hyundai Hb20 1.0 12v Sense,0 km  |  Câmbio: Manual  |  Flex  |  ,R$ 70.990,Niterói -  RJ,"Hoje, 23:21",https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-12v-sense-1006620181,2022-06-22
1012346943,CRUZE 2019/2019 1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO,47.941 km  |  Câmbio: Automático  |  Flex  |  ,R$ 96.550,Brasília -  DF,"Hoje, 23:21",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/cruze-2019-2019-1-4-turbo-lt-16v-flex-4p-automatico-1012346943,2022-06-22
849467995,FIAT ARGO 2019/2020 1.0 FIREFLY FLEX DRIVE MANUAL,46.637 km  |  Câmbio: Manual  |  Flex  |  ,R$ 63.900,Goiânia -  GO,"Hoje, 23:21",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2019-2020-1-0-firefly-flex-drive-manual-849467995,2022-06-22
